Timestamp,Do you enjoy jazz music in general?,What is your level of expertise in jazz?,Questions about musical excerpt #1 [The melody is novel],Questions about musical excerpt #1 [The melody is valuable],Questions about musical excerpt #1 [The melody has global structure],Questions about musical excerpt #1 [The melody harmonizes well with the other instruments],Questions about musical excerpt #1 [The rhythm of the melody fits well],Questions about musical excerpt #2  [The melody is novel],Questions about musical excerpt #2  [The melody is valuable],Questions about musical excerpt #2  [The melody has global structure],Questions about musical excerpt #2  [The melody harmonizes well with the other instruments],Questions about musical excerpt #2  [The rhythm of the melody fits well]
25/06/2023 03:05:01,Yes,2,2,3,2,3,2,3,3,2,3,3
25/06/2023 05:55:59,Yes,2,2,4,3,5,3,3,3,3,4,2
25/06/2023 06:24:25,Yes,2,3,4,3,5,5,3,3,2,3,3
25/06/2023 07:17:38,Yes,3,2,2,2,3,2,3,4,3,4,2
25/06/2023 07:46:25,Yes,2,3,3,3,3,3,3,3,3,3,3
25/06/2023 08:13:29,Yes,2,4,4,4,4,4,4,4,4,4,4
25/06/2023 08:29:51,Yes,2,4,4,4,3,3,3,4,4,5,5
25/06/2023 08:32:02,No,1,4,2,3,3,3,4,2,4,4,2
25/06/2023 08:59:06,No,3,4,2,3,1,2,3,1,4,1,4
25/06/2023 09:03:30,Yes,2,2,2,4,3,2,2,2,3,4,3
25/06/2023 09:30:52,Yes,1,3,4,2,2,3,3,4,2,2,2
25/06/2023 10:09:18,Yes,4,4,3,4,3,2,5,4,4,4,4
25/06/2023 10:41:01,Yes,1,3,2,2,4,4,2,4,3,3,4
25/06/2023 10:44:28,Yes,4,4,5,5,5,5,5,5,5,5,5
25/06/2023 12:30:35,Yes,1,4,3,3,2,2,4,4,3,4,3